title,duration,genre,time_slot,IsTV
UMOL.Title3,13.30275555,Unknown,evening,False
UMOL.Title15,1.3201777833333332,Unknown,evening,False
PRIVILEGED.Title1,60.11804445,Unknown,evening,False
UMOL.Title6,0.8312888833333333,Unknown,evening,False
PRIVILEGED.Title3,1.3614222166666667,Unknown,evening,False
PRIVILEGED.Title7,0.98844445,Unknown,evening,False
PRIVILEGED.Title16,0.9287111166666666,Unknown,evening,False
UMOL.Title8,1.3489777833333334,Unknown,evening,False
PRIVILEGED.Title13,2.2055111166666665,Unknown,evening,False
UMOL.Title10,2.5080888833333335,Unknown,evening,False
PRIVILEGED.Title12,1.2337777833333334,Unknown,evening,False
PRIVILEGED.Title6,1.12675555,Unknown,evening,False
UMOL.Title9,1.54524445,Unknown,evening,False
PRIVILEGED.Title2,4.3441777833333335,Unknown,evening,False
UMOL.Title16,2.0231111166666667,Unknown,evening,False
Akira,124.77501666666667,Animation|Science Fiction|Action,evening,False
My Neighbor Totoro,88.4187,Fantasy|Animation|Family,evening,False
Spirited.Away.2011.BluRay.1080p.x264.DTS.AC3.4Audio-HDWinG,124.53761666666666,Unknown,evening,False
A.Perfect.Planet.S01E01,58.56746666666667,Unknown,evening,False
Our Planet: Behind The Scenes,49.82338333166667,Documentary,morning,False
A.Perfect.Planet.S01E04,57.54666666666667,Unknown,evening,False
A.Perfect.Planet.S01E03,57.306666666666665,Unknown,evening,False
A.Perfect.Planet.S01E05,57.89013333333333,Unknown,evening,False
A.Perfect.Planet.S01E02,57.48373333333333,Unknown,evening,False
Cowboy Bebop - Tank! Full Size Music Clip,3.6225833333333335,Unknown,morning,True
From Pole to Pole,51.27413333333333,Documentary|Family,morning,True
Cowboy Bebop - Picture Drama,1.0177666666666667,Unknown,morning,True
Cowboy Bebop - NCED,1.6437333333333333,Unknown,morning,True
Berserk: Episode 10 (Noble Man),23.626116666666668,Animation|Action|Adventure,morning,True
Planet Earth II,50.0,Documentary|Family,morning,True
Great Plains,51.235733331666665,Documentary|Family,morning,True
Moment of Glory,23.615266666666667,Animation|Action|Adventure,morning,True
Caves,51.135466666666666,Documentary|Family,morning,True
Confession,23.620416666666667,Animation|Action|Adventure,morning,True
Ice Worlds,51.44213333166667,Documentary|Family,morning,True
Infiltration,23.614733333333334,Animation|Action|Adventure,morning,True
Shallow Seas,51.45706666666667,Documentary|Family,morning,True
Tombstone of Flames,23.620416666666667,Animation|Action|Adventure,morning,True
Deserts,51.16693333333333,Documentary|Family,morning,True
Bonfire of Dreams,23.623266666666666,Animation|Action|Adventure,morning,True
Ocean Deep,51.3712,Documentary|Family,morning,True
Time of Eternity,23.1085,Animation|Action|Adventure,morning,True
Seasonal Forests,51.4784,Documentary|Family,morning,True
The Conqueror,23.61595,Animation|Action|Adventure,morning,True
Fresh Water,51.4256,Documentary|Family,morning,True
Together,23.611883333333335,Animation|Action|Adventure,morning,True
Jungles,51.3792,Documentary|Family,morning,True
Eve of the Feast,23.61805,Animation|Action|Adventure,morning,True
Mountains,50.02826666666667,Documentary|Family,morning,True
Prepared for Death,23.614733333333334,Animation|Action|Adventure,morning,True
The Decisive Battle,23.617583333333332,Animation|Action|Adventure,morning,True
The Battle,23.617583333333332,Animation|Action|Adventure,morning,True
The Great Eclipse,23.617583333333332,Animation|Action|Adventure,morning,True
Sparks,23.63179999833333,Animation|Action|Adventure,morning,True
Separation,23.6104,Animation|Action|Adventure,morning,True
Our Planet: Behind The Scenes,53.89411666666667,Documentary,morning,False
Our Planet: Behind The Scenes,51.25815,Documentary,morning,False
Our Planet: Behind The Scenes,49.08931666666667,Documentary,morning,False
Our Planet: Behind The Scenes,51.32488333333333,Documentary,morning,False
Our Planet: Behind The Scenes,48.889116666666666,Documentary,morning,False
Our Planet: Behind The Scenes,50.157049998333335,Documentary,morning,False
Our Planet: Behind The Scenes,48.65555,Documentary,morning,False
The Wisdom of Trauma,87.90966666666667,Documentary,morning,False
Trinity and Beyond - The Atomic Bomb Movie 1995 1080p Blu-ray Remux MPEG-2 DD 5.1 - KRaLiMaRKo,93.85626666666667,Documentary|History|War,evening,False
Tresor： A Story of Survival,15.8958,Unknown,evening,False
11 Artists Interview： Working with Moving Images,12.819133333333333,Unknown,evening,False
Tesla: Master of Lightning,86.08217686666667,Documentary|History,evening,False
Game Over: Kasparov and the Machine,84.9728,Documentary,morning,False
Islands,58.584,Documentary,morning,True
Cities,58.650666666666666,Documentary,morning,True
Mountains,58.25013333333333,Documentary,morning,True
Deserts,58.16746666666667,Documentary,morning,True
Jungles,58.06738333333333,Documentary,morning,True
Grasslands,58.23413333333333,Documentary,morning,True
Tiptoes,90.064279865,Comedy|Drama|Romance,evening,False
Johnos,1.5006833333333334,Unknown,evening,False
Easter Egg - Music Video,1.2131166666666666,Unknown,evening,False
Locations Then & Now,4.500583333333333,Unknown,evening,False
Railroad - Revolutionizing the West,6.362266666666667,Unknown,evening,False
An Opera of Violence,28.823433333333334,Unknown,evening,False
Something to Do with Death,18.284049998333334,Unknown,evening,False
Gallery - Production,5.270716666666667,Unknown,evening,False
Trailer,2.8707166666666666,Unknown,evening,False
Putting Everything on a Bagel - Cooking up the Multiverse,10.055783333333334,Unknown,evening,False
Outtakes,8.503433333333334,Unknown,evening,False
The Wages of Sin,19.606716666666667,Unknown,evening,False
VFX Breakdowns,11.396933333333333,Unknown,evening,False
Trailer,2.7427166666666665,Unknown,evening,False
Almost Everything You Ever Wanted to Know About Everything Everywhere All at Once,40.78573333166667,Unknown,evening,False
Deleted Scenes,13.859683333333333,Unknown,evening,False
Music Visual,2.7178333333333335,Unknown,evening,False
Lewis Carroll's Jabberwocky poem as read by Michael Palin and Annette Badland,1.4669833333333333,Unknown,evening,False
Original Opening,3.26965,Unknown,evening,False
Sketch-to-Screen Comparison,7.0044,Unknown,evening,False
Trailer,1.4541833333333334,Unknown,evening,False
The Manchurian Candidate,0.9494833333333333,Unknown,evening,False
C'est juste de la TV,45.0,Talk,morning,True
Iron Chef,30.0,Reality,morning,True
Cartoon Planet,30.0,Animation|Comedy|Kids,morning,True
River Monsters,60.0,Documentary|Action & Adventure|Reality,morning,True
Mob Psycho 100,24.0,Animation|Action & Adventure|Comedy|Sci-Fi & Fantasy,morning,True
King of the Hill,22.0,Animation|Comedy|Family,morning,True
Teen Titans,23.0,Animation|Action & Adventure,morning,True
21 Jump Street,45.0,Crime|Mystery|Drama,morning,True
B-Roll,11.311266666666667,Action|Adventure|Comedy,morning,True
Avatar.The.Last.Airbender.S02E02.The.Cave.of.Two.Lovers.1080p.BluRay.x265.HEVC.6CH-MRN,24.1399,Unknown,morning,True
Bloopers,5.0876166666666665,Action|Adventure|Comedy,morning,True
Origins and Characters,9.517483333333333,Action|Adventure|Comedy,morning,True
Product Design,2.5919666666666665,Action|Adventure|Comedy,morning,True
Episode 2 Mystery Mask Mix-Up,22.142983333333333,Unknown,morning,True
Get a Life - S2E05 - Chris Gets His Tonsils Out,22.530841666666667,Unknown,morning,True
Avatar.The.Last.Airbender.S02E20.The.Crossroads.of.Destiny.1080p.BluRay.x265.HEVC.6CH-MRN,24.110033333333334,Unknown,morning,True
Episode 2,20.738078466666668,Unknown,morning,True
Survivorman-S03E06,43.0432,Unknown,morning,True
Get a Life - S2E09 - Chris' Brain Starts Working,22.8228,Unknown,morning,True
